Значение 0.38больше, чем 0.19 и поэтому оно попало сюда - John Smith
 Значение 0.36больше, чем 0.18 и поэтому оно попало сюда - John Smith
 Значение 0.34больше, чем 0.17 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.08больше, чем 0.04 и поэтому оно попало сюда - John Smith
 Значение 0.16больше, чем 0.08 и поэтому оно попало сюда - John Smith
 Значение 0.22больше, чем 0.11 и поэтому оно попало сюда - John Smith
 Значение 0.14больше, чем 0.07 и поэтому оно попало сюда - John Smith
 Значение 0.08больше, чем 0.04 и поэтому оно попало сюда - John Smith
 Значение 0.08больше, чем 0.04 и поэтому оно попало сюда - John Smith
 Значение 0.08больше, чем 0.04 и поэтому оно попало сюда - John Smith
 Значение 0.08больше, чем 0.04 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.12больше, чем 0.06 и поэтому оно попало сюда - John Smith
 Значение 0.12больше, чем 0.06 и поэтому оно попало сюда - John Smith
 Значение 0.12больше, чем 0.06 и поэтому оно попало сюда - John Smith
 Значение 0.12больше, чем 0.06 и поэтому оно попало сюда - John Smith
 Значение 0.22больше, чем 0.11 и поэтому оно попало сюда - John Smith
 Значение 0.22больше, чем 0.11 и поэтому оно попало сюда - John Smith
 Значение 0.22больше, чем 0.11 и поэтому оно попало сюда - John Smith
 Значение 0.22больше, чем 0.11 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.06больше, чем 0.03 и поэтому оно попало сюда - John Smith
 Значение 0.36больше, чем 0.18 и поэтому оно попало сюда - John Smith
 Значение 0.36больше, чем 0.18 и поэтому оно попало сюда - John Smith
 Значение 0.36больше, чем 0.18 и поэтому оно попало сюда - John Smith
 Значение 0.36больше, чем 0.18 и поэтому оно попало сюда - John Smith
 Значение 0.1больше, чем 0.05 и поэтому оно попало сюда - John Smith
 Значение 0.1больше, чем 0.05 и поэтому оно попало сюда - John Smith
 Значение 0.1больше, чем 0.05 и поэтому оно попало сюда - John Smith
 Значение 0.1больше, чем 0.05 и поэтому оно попало сюда - John Smith
 Значение 0.2больше, чем 0.1 и поэтому оно попало сюда - John Smith
 Значение 0.2больше, чем 0.1 и поэтому оно попало сюда - John Smith
 Значение 0.2больше, чем 0.1 и поэтому оно попало сюда - John Smith
 Значение 0.2больше, чем 0.1 и поэтому оно попало сюда - John Smith
 Значение 0.34больше, чем 0.17 и поэтому оно попало сюда - John Smith
 Значение 0.34больше, чем 0.17 и поэтому оно попало сюда - John Smith
 Значение 0.34больше, чем 0.17 и поэтому оно попало сюда - John Smith
 Значение 0.34больше, чем 0.17 и поэтому оно попало сюда - John Smith
 0.16	0.08	16:58
0.02	0.01	16:58
0.08	0.04	16:58
0.16	0.08	16:58
0.38	0.19	16:59
0.04	0.02	16:59
0.08	0.04	16:59
0.38	0.19	16:59
0.08	0.04	17:00	CO
0.02	0.01	17:00	NO
0.14	0.07	17:00	NO2
0.08	0.04	17:00	PM10
0.1	0.05	17:00	CO
0.06	0.03	17:00	NO
0.06	0.03	17:00	NO2
0.1	0.05	17:00	PM10
0.36	0.18	17:00	CO
0.06	0.03	17:00	NO
0.12	0.06	17:00	NO2
0.36	0.18	17:00	PM10
0.34	0.17	17:00	CO
0.1	0.05	17:00	NO
0.04	0.02	17:00	NO2
0.34	0.17	17:00	PM10
0.24	0.12	17:01	CO
0.06	0.03	17:01	NO
0.06	0.03	17:01	NO2
0.24	0.12	17:01	PM10
0.12	0.06	17:02	CO
0.04	0.02	17:02	NO
0.1	0.05	17:02	NO2
0.12	0.06	17:02	PM10
0.14	0.07	17:03	CO
0.04	0.02	17:03	NO
0.06	0.03	17:03	NO2
0.14	0.07	17:03	PM10
0.12	0.06	17:03	CO
0.08	0.04	17:03	NO
0.08	0.04	17:03	NO2
0.12	0.06	17:03	PM10
0.26	0.13	17:04	CO
0.02	0.01	17:04	NO
0.12	0.06	17:04	NO2
0.26	0.13	17:04	PM10
0.32	0.16	17:04	CO
0.02	0.01	17:04	NO
0.14	0.07	17:04	NO2
0.32	0.16	17:04	PM10
0.22	0.11	17:04	CO
0.08	0.04	17:04	NO
0.02	0.01	17:04	NO2
0.22	0.11	17:04	PM10
0.3	0.15	17:04	CO
0.02	0.01	17:04	NO
0.12	0.06	17:04	NO2
0.3	0.15	17:04	PM10
0.3	0.15	17:04	CO
0.02	0.01	17:04	NO
0.12	0.06	17:04	NO2
0.3	0.15	17:04	PM10
0.16	0.08	17:04	CO
0.08	0.04	17:04	NO
0.08	0.04	17:04	NO2
0.16	0.08	17:04	PM10
0.14	0.07	17:04	CO
0.06	0.03	17:04	NO
0.1	0.05	17:04	NO2
0.14	0.07	17:04	PM10
0.4	0.2	17:05	CO
0.02	0.01	17:05	NO
0.08	0.04	17:05	NO2
0.4	0.2	17:05	PM10
0.36	0.18	17:05	CO
0.06	0.03	17:05	NO
0.06	0.03	17:05	NO2
0.36	0.18	17:05	PM10
0.26	0.13	17:05	CO
0.04	0.02	17:05	NO
0.12	0.06	17:05	NO2
0.26	0.13	17:05	PM10
0.2	0.1	17:05	CO
0.02	0.01	17:05	NO
0.1	0.05	17:05	NO2
0.2	0.1	17:05	PM10
0.36	0.18	17:06	CO
0.06	0.03	17:06	NO
0.14	0.07	17:06	NO2
0.36	0.18	17:06	PM10
0.14	0.07	17:06	CO
0.08	0.04	17:06	NO
0.14	0.07	17:06	NO2
0.14	0.07	17:06	PM10
0.3	0.15	17:11	CO
0.08	0.04	17:11	NO
0.12	0.06	17:11	NO2
0.3	0.15	17:11	PM10
0.12	0.06	17:23	CO
0.06	0.03	17:23	NO
0.12	0.06	17:23	NO2
0.12	0.06	17:23	PM10
0.32	0.16	17:24	CO
0.06	0.03	17:24	NO
0.02	0.01	17:24	NO2
0.32	0.16	17:24	PM10
0.12	0.06	17:24	CO
0.04	0.02	17:24	NO
0.08	0.04	17:24	NO2
0.12	0.06	17:24	PM10
0.28	0.14	17:24	CO
0.08	0.04	17:24	NO
0.14	0.07	17:24	NO2
0.28	0.14	17:24	PM10
0.28	0.14	17:25	CO
0.1	0.05	17:25	NO
0.06	0.03	17:25	NO2
0.28	0.14	17:25	PM10
